====================================================================================================
A new study created in memory with name: no-name-b6556ae9-996a-4618-a7a7-8d83eda6274f
Start optimization, input: w_tpw_wo_noise, seed: 42
Trial 0 finished with value: 0.5155843018938867 and parameters: {'iterations': 1374, 'learning_rate': 0.2852635776165649, 'depth': 9, 'bagging_temperature': 5.986584841970366, 'l2_leaf_reg': 1.5601864044243652, 'random_strength': 1.5599452033620265}. Best is trial 0 with value: 0.5155843018938867.
Trial 1 finished with value: 0.5214815892790665 and parameters: {'iterations': 1058, 'learning_rate': 0.25998666758670563, 'depth': 9, 'bagging_temperature': 7.080725777960454, 'l2_leaf_reg': 0.20584494295802447, 'random_strength': 9.699098521619943}. Best is trial 0 with value: 0.5155843018938867.
Trial 2 finished with value: 0.5174092855479648 and parameters: {'iterations': 1833, 'learning_rate': 0.06448939409280458, 'depth': 6, 'bagging_temperature': 1.8340450985343382, 'l2_leaf_reg': 3.0424224295953772, 'random_strength': 5.247564316322379}. Best is trial 0 with value: 0.5155843018938867.
Trial 3 finished with value: 0.5069312324997448 and parameters: {'iterations': 1432, 'learning_rate': 0.08807751291921453, 'depth': 9, 'bagging_temperature': 1.3949386065204183, 'l2_leaf_reg': 2.9214464853521815, 'random_strength': 3.663618432936917}. Best is trial 3 with value: 0.5069312324997448.
Trial 4 finished with value: 0.5187364438245186 and parameters: {'iterations': 1456, 'learning_rate': 0.23576761245651107, 'depth': 6, 'bagging_temperature': 5.142344384136116, 'l2_leaf_reg': 5.924145688620425, 'random_strength': 0.46450412719997725}. Best is trial 3 with value: 0.5069312324997448.
Trial 5 finished with value: 0.5481206605882994 and parameters: {'iterations': 1608, 'learning_rate': 0.05198671298250017, 'depth': 6, 'bagging_temperature': 9.488855372533333, 'l2_leaf_reg': 9.656320330745594, 'random_strength': 8.08397348116461}. Best is trial 3 with value: 0.5069312324997448.
Trial 6 finished with value: 0.5205508500055214 and parameters: {'iterations': 1304, 'learning_rate': 0.03020396208790878, 'depth': 9, 'bagging_temperature': 4.4015249373960135, 'l2_leaf_reg': 1.2203823484477883, 'random_strength': 4.951769101112702}. Best is trial 3 with value: 0.5069312324997448.
Trial 7 finished with value: 0.5246107168264649 and parameters: {'iterations': 1034, 'learning_rate': 0.2728868002215558, 'depth': 7, 'bagging_temperature': 6.62522284353982, 'l2_leaf_reg': 3.1171107608941098, 'random_strength': 5.200680211778108}. Best is trial 3 with value: 0.5069312324997448.
Trial 8 finished with value: 0.5251278099824789 and parameters: {'iterations': 1547, 'learning_rate': 0.056271482202132586, 'depth': 10, 'bagging_temperature': 7.7513282336111455, 'l2_leaf_reg': 9.394989415641891, 'random_strength': 8.948273504276488}. Best is trial 3 with value: 0.5069312324997448.
Trial 9 finished with value: 0.5085817820667825 and parameters: {'iterations': 1598, 'learning_rate': 0.27664039627191195, 'depth': 6, 'bagging_temperature': 1.959828624191452, 'l2_leaf_reg': 0.45227288910538066, 'random_strength': 3.2533033076326436}. Best is trial 3 with value: 0.5069312324997448.
Trial 10 finished with value: 0.506852487084807 and parameters: {'iterations': 1946, 'learning_rate': 0.1392464415503804, 'depth': 8, 'bagging_temperature': 0.1796187561481979, 'l2_leaf_reg': 5.978810668073861, 'random_strength': 6.902470735691453}. Best is trial 10 with value: 0.506852487084807.
Trial 11 finished with value: 0.5057212320900932 and parameters: {'iterations': 1978, 'learning_rate': 0.13333342685090666, 'depth': 8, 'bagging_temperature': 0.03768694471146075, 'l2_leaf_reg': 6.3913392821683015, 'random_strength': 7.075456309289969}. Best is trial 11 with value: 0.5057212320900932.
Trial 12 finished with value: 0.5048169657746311 and parameters: {'iterations': 1974, 'learning_rate': 0.15642797821255153, 'depth': 8, 'bagging_temperature': 0.1063333338958921, 'l2_leaf_reg': 6.5503706648748485, 'random_strength': 7.0597054742517455}. Best is trial 12 with value: 0.5048169657746311.
Trial 13 finished with value: 0.5079931539475585 and parameters: {'iterations': 1798, 'learning_rate': 0.18586139342139796, 'depth': 8, 'bagging_temperature': 3.456937452482668, 'l2_leaf_reg': 7.71664143256938, 'random_strength': 7.064599328239055}. Best is trial 12 with value: 0.5048169657746311.
Trial 14 finished with value: 0.5071030686446237 and parameters: {'iterations': 1990, 'learning_rate': 0.1316818409021817, 'depth': 7, 'bagging_temperature': 0.18314922024947333, 'l2_leaf_reg': 7.931197242153651, 'random_strength': 6.742261088608086}. Best is trial 12 with value: 0.5048169657746311.
Trial 15 finished with value: 0.5083787104159647 and parameters: {'iterations': 1778, 'learning_rate': 0.19603032057871234, 'depth': 7, 'bagging_temperature': 2.9329539583551285, 'l2_leaf_reg': 4.970853936108525, 'random_strength': 8.283531060228567}. Best is trial 12 with value: 0.5048169657746311.
Trial 16 finished with value: 0.5068129806284863 and parameters: {'iterations': 1730, 'learning_rate': 0.1085523615519605, 'depth': 8, 'bagging_temperature': 0.03125048501516649, 'l2_leaf_reg': 7.121025120650241, 'random_strength': 6.197379094964695}. Best is trial 12 with value: 0.5048169657746311.
Trial 17 finished with value: 0.5048233882844207 and parameters: {'iterations': 1901, 'learning_rate': 0.1892325732866507, 'depth': 10, 'bagging_temperature': 1.1748087421482012, 'l2_leaf_reg': 4.508630168097122, 'random_strength': 7.946453641120891}. Best is trial 12 with value: 0.5048169657746311.
